	17119-05-01-243200068	17119-05-02-243200066	17119-05-03-243200095	17119-05-04-243200101	17119-05-05-243200087	17119-05-06-243200069	17119-05-07-243200099	17119-05-08-243200071	17119-05-09-243200070	17119-05-10-243200096	17119-05-11-243200091	17119-05-12-243200081	17119-05-13-243200076	17119-05-14-243200089	17119-05-15-243200093	17119-05-16-243200072	17119-05-17-243200086	17119-05-18-243200100	17119-05-19-243200062	17119-05-20-243200063	17119-05-21-243200075	17119-05-22-243200094	17119-05-23-243200073	17119-05-24-243200088	17119-05-25-243200085	17119-05-26-243200098	17119-05-27-243200083	17119-05-28-243200078	17119-05-30-243200082	17119-05-31-243200080	17119-05-32-243200092	17119-05-33-243200064	17119-05-34-243200097	17119-05-35-243200067	17119-05-36-243200079	17119-05-37-243200074	17119-05-38-243200077	17119-05-39-243200084	17119-05-40-243200090	17119D-05-29-243200065
bin_108	0.00635718	0.004434438	2.7274864	0.0047532343	0.009220489	0.0026376906	0.004637202	0.015347948	0.0017779944	0.0010226106	1.0796282	0.0053392574	0.002675196	0.0007694485	0.0022227862	0.0039245975	0.00053093705	0.0067052776	0.0052115046	0.9190977	0.0022233722	0.00049401756	1.1059823	0.005526199	0.033460755	0.0055349893	0.0063384273	0.0074542155	0.0034862522	14.354137	0.016478388	0.033549245	0.18950175	0.03164115	1.0448185	0.092387736	0.01403467	0.33924475	29.720469	0.26298612
bin_109	0.0012573547	0.00080525805	0.00069530215	0.0011035667	0.0038066288	0.35047612	0.0028308013	0.50766575	0.00609266	0.004720841	0.0054056235	1.3230007	0.011639298	0.0067278496	0.0030211578	5.2658777	0.013343739	0.0020798952	0.01427323	0.002097929	1.3202289	0.00067726837	0.005379074	0.004376446	0.0070807603	0.006221401	0.0077091875	0.0095992265	0.003530612	12.991452	0.006831544	0.0072861454	0.005693663	0.0010900414	1.0666475	0.081346594	0.0017497769	0.049069647	0.047601648	0.039474424
bin_11	0.00543804	0.021942206	0.010100927	0.038492013	0.023883829	0.008665847	0.009819597	0.005539049	0.10034037	0.004752673	0.009300335	0.56189436	0.0070354827	6.021657	0.2061225	0.039099567	0.004607519	0.008884327	0.19857225	0.018213842	0.009195585	0.004009694	0.050165694	2.3413455	0.060969945	0.22796595	6.095405	0.96106577	1.951033	0.39337572	2.4030995	5.340417	0.026060391	0.09853267	0.14703956	1.1835488	0.56232685	0.13111003	0.5131376	1.780518
bin_110	0.016822707	0.017867599	0.015882473	0.047111895	0.038537964	0.86216384	0.008992142	20.119843	0.021824976	0.011065678	1.0335464	8.808866	0.026019735	0.044490803	0.006218074	0.06722626	0.003142481	0.012025745	0.09370915	0.002497442	0.91556656	0.00071720226	0.21155441	0.010928314	0.0033271094	0.018957434	0.00039310026	0.019794064	0.0016365462	0.023466587	0.047567453	0.011719156	0.11725085	0.011665139	0.6429059	3.0855107	0.005835735	4.9568596	1.7475439	0.7411881
bin_111	0.014142528	0.0068658013	0.031900704	0.011517356	2.332087	0.023465283	0.013636649	0.59394443	0.0337822	0.001954758	0.0015262339	0.0996722	0.0016776704	0.03430404	0.00770566	0.0070720827	0.03357551	0.031404648	0.03490365	0.029969275	0.05792608	0.027555296	56.74534	0.047763877	0.055849355	9.03862	0.116570055	19.441885	0.048345067	0.82133156	1.0642418	6.6885533	0.4010107	3.0726786	0.7573464	3.8535302	78.008	0.04769307	0.032473296	0.17712499
bin_112	0.027690332	0.022845471	1.035421	0.23838325	0.19512346	0.04463436	0.015069258	0.06801536	0.22042479	0.045547057	0.04366207	24.135038	0.073903605	0.10509317	6.6826477	0.2109492	0.0039811214	0.58978146	0.07331359	0.25973666	0.01982813	0.029528493	0.12430659	0.0044532195	0.2833552	0.35295373	26.070728	147.09418	0.15326592	63.221935	0.29210752	0.30973864	0.44830608	0.76736325	4.8176384	0.29238933	0.05773009	0.09045642	0.7827986	0.1698396
bin_113	0.00057420635	0.008321326	0.008843898	0.0001561493	0.0016790715	0.00049208803	0.0013835699	0.00876489	0.014182835	4.914659e-05	0.03408285	0.0060027274	0.008489918	0.012118056	0.016984813	0.029942093	0.109450705	0.009666948	0.0055504544	0.0011341042	0.004320545	0.00018974316	0.3812917	0.005247487	0.012465815	0.22281073	0.0057184235	0.07035241	0.0027602965	0.07008615	4.2225847	0.031565797	0.19812359	0.022819571	0.20305257	0.062470295	0.015359243	2.7419076	23.67404	0.042380538
bin_114	0.0631737	12.047099	0.27979362	3.2640707	0.10470888	0.025450783	0.073789306	0.016205553	0.023570813	0.013364383	0.008685671	0.04587731	0.029949889	0.014266656	0.15040281	0.08299683	0.16175994	0.06605588	0.0069391085	0.0014524044	0.0025173123	0.0022632242	0.034922287	0.012142026	0.0013633085	0.03205378	0.012198594	0.007438328	0.58580923	0.011888409	0.005193489	1.5055504	0.0069197807	0.0021972272	0.0036237042	0.0058369595	0.8375509	0.0021359443	0.0030269031	0.020640077
bin_115	0.03303238	0.0384437	0.02268759	0.048624687	0.05136295	24.546944	0.01792523	1.7050426	0.86516196	3.9554622	1.4068648	0.030088576	0.030159522	7.019603	0.6516868	0.009424035	1.8641129	24.091227	2.1014984	8.467228	0.7534424	5.07977	1.9061373	0.026996093	13.474306	13.446446	0.055384535	0.43809897	0.036434215	26.27643	2.645963	0.18960284	16.233568	0.18830179	97.03381	6.1452947	0.129999	2.629189	18.201666	1.5948765
bin_116	0.0040052654	0.0036022046	2.060334	0.0038488177	0.0054591116	0.0017672296	0.0068247425	0.011340779	0.001819379	0.0010191057	0.82391405	0.006645875	0.0019592561	0.0007315531	0.004062776	0.0036124396	0.00032166892	0.0041144383	0.0050492277	0.8276717	0.0017886743	0.0007169318	1.0655079	0.0037722993	0.0415606	0.0141656175	0.012926217	0.016504541	0.008128476	30.048634	0.017206363	0.037191264	0.19764169	0.026272554	0.7954663	0.07390197	0.011444104	0.26817587	25.549644	0.20547724
