Genomic bins	17119-05-25-243200085	17119-05-08-243200071	17119-05-35-243200067	17119-05-33-243200064	17119-05-16-243200072	17119-05-04-243200101	17119-05-28-243200078	17119-05-01-243200068	17119-05-38-243200077	17119-05-32-243200092	17119-05-15-243200093	17119-05-36-243200079	17119-05-02-243200066	17119-05-23-243200073	17119-05-12-243200081	17119-05-22-243200094	17119-05-20-243200063	17119-05-26-243200098	17119-05-30-243200082	17119-05-14-243200089	17119-05-06-243200069	17119-05-09-243200070	17119-05-13-243200076	17119-05-05-243200087	17119-05-07-243200099	17119-05-40-243200090	17119-05-11-243200091	17119-05-21-243200075	17119-05-27-243200083	17119-05-37-243200074	17119-05-24-243200088	17119-05-34-243200097	17119-05-31-243200080	17119-05-19-243200062	17119-05-18-243200100	17119D-05-29-243200065	17119-05-39-243200084	17119-05-10-243200096	17119-05-17-243200086	17119-05-03-243200095
sinASSsinBIN_bin.455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.010362	0.0	0.0	0.0	0.0	0.0	0.069403	0.0	0.0	0.028988	0.0	0.0	0.0	0.0	0.521754	0.399861	0.018922	0.0	0.0	0.0	17.19583	17.210015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.93	0.0	0.019025	0.191923	0.215089	0.0	0.0	0.0	0.0	0.046963	0.0	0.0	0.185248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.83693	0.0	0.0	0.0	0.2238195	0.0	0.2065305	0.0	0.0	0.0	0.0	13.632393	0.0	0.0	0.0
sinASSsinBIN_bin.64	0.0	0.045343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016958	0.0	0.006309	65.438492	0.0	0.0	0.0	0.0	0.154295	0.0	0.0	0.032659	0.0	0.0	2.138126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.331079	0.0	0.0	0.133404	0.0	0.0	0.0
sinASSsinBIN_bin.561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.392522	0.0	0.0	0.0	0.019394	0.0	0.0	0.0	0.0	0.0	0.0	0.058198	0.0	0.0	0.0
sinASSsinBIN_bin.250	0.0	5.030847	0.046825	0.0	0.013632	0.0	0.0	0.0	0.0	1.193457	0.008989	0.0	0.0	1.493782	0.062131	0.083066	0.249544	1.381932	0.0	16.35097	0.0	0.065769	0.159471	0.0	0.0	0.0	33.586739	0.300722	0.059772	6.692474	0.101826	1.3e-05	0.0	83.10353	0.170072	7.461169	8.723023	0.05043	4.132165	0.075733
sinASSsinBIN_bin.234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.693217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.471718	0.0	0.0	0.0
sinASSsinBIN_bin.51	0.0	1.326079	0.000309	0.000388	0.0	0.0	7.692577	0.0	2.2e-05	0.0	0.0	53.765421	0.0	0.0	6.012857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.169735	0.0	0.0	0.0	0.155227	0.0	0.011365	0.0	0.0	0.0	0.0	0.016121	0.0	0.0	0.0
sinASSsinBIN_bin.10	0.0	0.115619	0.0	0.041608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.253837	0.0	8.05602	0.0	0.253414	0.0	0.041332	0.0	0.0	0.0	0.0	0.184631	0.0	0.01129	0.0
sinASSsinBIN_bin.582	0.0	0.0	0.0	0.0	0.0	0.0	0.41137	0.0	0.0	0.0	0.0	0.003593	0.0	0.0	0.01526	0.0	0.0	0.0	0.0	0.0	0.11591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.151602	0.0	0.0	9.682149	0.0	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.211	4e-06	10.660795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.267414	0.0	0.0	0.0	39.48587	0.0	0.0	0.0	45.403294	0.0	13.409478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000263	0.292957	37.419585	0.0	0.0	0.0	2.114706	0.0	4.879431	5.445754	0.0	14.376267	0.0
