genome	17119-05-01-243200068	17119-05-02-243200066	17119-05-03-243200095	17119-05-04-243200101	17119-05-05-243200087	17119-05-06-243200069	17119-05-07-243200099	17119-05-08-243200071	17119-05-09-243200070	17119-05-10-243200096	17119-05-11-243200091	17119-05-12-243200081	17119-05-13-243200076	17119-05-14-243200089	17119-05-15-243200093	17119-05-16-243200072	17119-05-17-243200086	17119-05-18-243200100	17119-05-19-243200062	17119-05-20-243200063	17119-05-21-243200075	17119-05-22-243200094	17119-05-23-243200073	17119-05-24-243200088	17119-05-25-243200085	17119-05-26-243200098	17119-05-27-243200083	17119-05-28-243200078	17119-05-30-243200082	17119-05-31-243200080	17119-05-32-243200092	17119-05-33-243200064	17119-05-34-243200097	17119-05-35-243200067	17119-05-36-243200079	17119-05-37-243200074	17119-05-38-243200077	17119-05-39-243200084	17119-05-40-243200090	17119D-05-29-243200065
bin_153	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.8885881354868443	1.6959619696515575	2.2902910725663985
bin_154	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0076707986012288	n/a	n/a	n/a	n/a	n/a
bin_155	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.5943586472926776	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.6637775193100226	n/a	n/a	n/a	n/a
bin_157	n/a	2.446586775878717	1.7554897216358625	1.5825392589928267	1.7372545243149584	n/a	n/a	n/a	n/a	n/a	n/a	1.5410425012580982	n/a	n/a	1.5841915334791006	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.6258493344984972	n/a	n/a	n/a	n/a	n/a	n/a	1.6252600626423341	n/a	n/a	n/a
bin_159	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
bin_15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.4973721152574442	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.7573917945957653	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
bin_160	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.6432111882301714	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
bin_162	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.4931377186024508	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
bin_163	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.830913958616556	1.7026705995517892	n/a
bin_165	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.177936589801523	1.8393206329865155	n/a
bin_166	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.5086349390033116	n/a	n/a	1.6141774525433874	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
bin_167	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.5539673526986204	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.474130092166892	n/a	n/a	n/a	n/a
bin_169	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
bin_16	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.6048419679371748	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.087946292880755	n/a
bin_170	n/a	1.7275382486978734	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
