""	"17119-05-01-243200068"	"17119-05-02-243200066"	"17119-05-03-243200095"	"17119-05-04-243200101"	"17119-05-05-243200087"	"17119-05-06-243200069"	"17119-05-07-243200099"	"17119-05-08-243200071"	"17119-05-09-243200070"	"17119-05-10-243200096"	"17119-05-11-243200091"	"17119-05-12-243200081"	"17119-05-13-243200076"	"17119-05-14-243200089"	"17119-05-15-243200093"	"17119-05-16-243200072"	"17119-05-17-243200086"	"17119-05-18-243200100"	"17119-05-19-243200062"	"17119-05-20-243200063"	"17119-05-21-243200075"	"17119-05-22-243200094"	"17119-05-23-243200073"	"17119-05-24-243200088"	"17119-05-25-243200085"	"17119-05-26-243200098"	"17119-05-27-243200083"	"17119-05-28-243200078"	"17119-05-30-243200082"	"17119-05-31-243200080"	"17119-05-32-243200092"	"17119-05-33-243200064"	"17119-05-34-243200097"	"17119-05-35-243200067"	"17119-05-36-243200079"	"17119-05-37-243200074"	"17119-05-38-243200077"	"17119-05-39-243200084"	"17119-05-40-243200090"	"17119D-05-29-243200065"
"K00580"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	9	0
"K00581"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	31	0
"K00584"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	748	43	0
"K00586"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	12	0	0	0	0	184	0	2	0
"K00587"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
"K00588"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"K00591"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0
"K00595"	1	1	25	1	4	126	0	813	3	0	50	397	3	812	1	44	0	3	565	2	359	0	785	7	0	1	2	148	4	375	2	31	69	9	436	421	10	2938	4200	51
"K00596"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
"K00598"	4	3	90	64	1365	23	25	360	16	35	159	880	43	406	53	1633	29	93	372	19	66	2	372	1329	245	615	2012	1591	422	272	606	1194	2394	56	486	672	157	91	162	341
"K00599"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
"K00600"	1608	1626	1576	4280	2119	5611	3005	3192	2965	4298	5234	2985	3682	5698	5101	2731	2265	3530	5057	3771	5233	4195	6316	3101	4965	4208	2669	3955	4648	3697	7838	4000	2282	4142	3459	4489	7261	7035	9120	3380
"K00602"	6351	1205	1503	3360	5897	2413	1014	4666	1199	1932	3760	4626	1350	5571	3512	5816	1017	1856	5470	1286	4073	1092	7843	3894	2580	5022	7209	10575	2605	6652	8752	5329	3066	6952	4696	8209	5516	6714	11290	3718
"K00603"	4	1	0	0	3	1	0	1145	3	0	59	20	0	12	0	34	0	2	29	0	24	0	2	15	2	1	2	47	2	28	0	3	70	1	371	75	0	222	268	29
"K00604"	3527	2181	1125	4001	2610	4930	2382	2602	2677	4006	3569	3469	3286	3163	3484	4435	1527	2856	2336	3321	2682	3591	4168	3442	4357	3556	2650	7046	4339	3828	3060	2890	4484	436	2745	2660	5494	5183	7466	2643
"K00605"	3230	69	170	717	1824	37	44	1661	33	71	595	918	31	749	152	1518	65	93	865	20	367	2	744	2269	656	1753	1979	1885	589	399	1112	2117	7301	81	1197	1126	465	2597	3992	882
"K00606"	2069	67	487	612	1973	743	34	874	46	46	258	660	33	945	1006	778	31	274	601	26	262	8	1090	1207	357	768	2308	1414	398	580	1286	2196	4045	2917	1673	2077	3580	2168	3706	1096
"K00608"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
"K00609"	2504	904	689	1625	2966	2188	537	1918	697	1142	1702	2091	739	3222	1717	2773	522	1029	2982	636	1843	582	4938	1752	1351	4982	2272	4676	1524	2136	3862	2992	3614	3070	2623	4022	4385	3984	6360	1994
"K00610"	42	11	75	51	499	51	17	675	9	21	117	529	16	475	35	689	21	56	301	1	115	1	621	239	45	351	489	837	152	254	232	524	635	14	490	380	42	1089	1486	178
"K00611"	6274	2181	880	4232	2987	4822	2324	1815	2358	3769	3141	3400	2659	3120	2674	4598	1073	2265	2814	2371	2385	2685	5307	5757	3626	3038	3362	4811	3897	3010	3587	3989	4583	1638	2156	3228	4131	3683	5527	2792
"K00612"	0	0	0	0	0	5	1	18	2	0	1	0	0	0	0	0	0	3	0	0	4	0	1	0	5	0	0	0	4	0	0	1	2	0	1	7	0	583	84	2
"K00613"	0	1	1	0	0	0	0	51	0	0	6	0	0	0	0	0	4	2	0	0	7	0	4	2	0	0	0	3	1	32	0	2	0	0	24	32	0	19	56	0
"K00615"	11891	1270	3260	6109	5691	6442	3073	6558	2986	4681	4530	7077	3619	6538	7978	9634	1323	3907	4374	3041	4580	3640	13916	11909	5227	4933	15308	11941	7435	8552	4961	13972	11104	4716	8910	10025	8135	12783	19313	5868
"K00616"	3098	225	661	772	4648	1091	98	2199	193	116	724	2818	105	2985	925	4077	58	410	1521	53	377	17	2427	2448	480	1772	5109	4764	829	2395	3322	3467	5948	3440	2504	3807	668	1850	2423	1835
"K00619"	1885	15	3	35	19	2	3	12	8	0	75	17	1	142	12	0	1	0	5	11	12	1	0	24	1	29	56	62	13	75	39	34	8	17	30	50	40	561	617	57
"K00620"	3102	306	715	517	1170	136	25	418	21	45	100	1160	21	1628	1621	565	13	322	1292	34	479	3	1765	143	451	69	310	2308	205	2234	704	1752	130	2403	1906	2040	643	2276	4554	627
"K00621"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00623"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"K00624"	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	10	86	0
"K00625"	3305	681	621	2546	649	2143	1185	2634	1220	2014	2099	1332	1529	1481	2173	1092	721	1344	2399	1426	2417	1619	2316	738	2184	2094	135	2263	1687	1862	3076	1148	514	1346	1752	2179	5045	2670	4757	1421
"K00626"	8223	861	512	4452	4284	2605	1325	2008	1551	2759	3772	2768	1834	3152	1713	7504	1002	1851	4024	1820	3065	1704	4751	7131	4091	5686	3088	5853	3563	2526	5758	4304	10824	373	3438	4407	5798	4172	4963	2770
"K00627"	5850	552	322	2625	2094	1206	664	1078	831	1313	2314	1559	804	2696	1280	2856	528	892	1786	835	822	796	2269	5076	2418	4222	6130	5690	2098	2107	2670	4093	1560	3011	2478	3759	5554	1179	1678	2822
"K00629"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
"K00630"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
"K00631"	6	8	212	127	2502	42	55	697	194	103	653	1909	101	977	148	3506	147	190	865	22	85	4	882	4893	737	2560	6324	4155	1824	616	1587	4043	7381	109	1148	1845	610	314	766	1020
"K00632"	3007	402	401	761	4434	63	88	920	61	168	667	2477	107	873	435	3806	81	314	818	8	113	3	1042	4912	679	2364	8715	5156	1536	699	1950	5517	6791	158	1485	1904	1448	250	481	981
"K00633"	78	28	51	35	737	103	14	320	6	90	161	361	20	641	24	938	42	93	420	11	105	8	608	25	85	499	6	344	6	277	643	416	1150	24	393	559	5	289	301	224
"K00634"	968	12	3	17	25	28	4	247	0	3	54	61	6	372	1	27	0	3	133	0	170	2	685	18	2	144	3	369	3	37	24	344	29	69	328	182	1954	1285	1272	96
"K00635"	0	0	1	0	0	0	0	0	0	0	0	6	0	0	24	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	37	2	0
"K00637"	0	0	0	1	0	0	0	0	4	0	0	1	0	23	3	0	0	0	1	3	0	0	0	19	0	1	15	17	4	8	17	5	0	0	0	7	7	0	2	7
"K00638"	597	7	1	11	6	1	0	2	0	0	0	0	0	0	0	0	0	1	3	1	1	1	0	2164	0	0	16	0	0	0	0	0	0	0	0	0	0	10	43	0
"K00639"	3499	521	944	5890	1766	6793	3954	2780	3643	6114	4187	2526	4180	590	3631	2472	1349	3211	563	3854	2532	4720	572	2619	5392	936	1128	2177	5537	900	838	2079	4787	83	1361	952	2858	2437	3409	2883
"K00640"	2007	954	341	1786	2484	1328	490	2116	649	787	854	1995	704	2238	1214	2650	203	742	1121	580	745	674	3113	3043	1338	1290	2803	5538	1243	2707	1839	3045	1928	2912	1918	2782	4797	4234	5613	1470
"K00641"	5316	313	39	797	85	5	28	69	106	27	73	216	8	428	559	42	9	49	50	31	15	0	15	107	4	80	137	248	40	359	425	214	34	99	304	172	899	803	1722	214
"K00643"	4	3	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	1	3	16	2	0	21	0	0	3	0	2	2	5	1
"K00645"	2500	1038	748	2451	2414	3367	1529	2180	1609	2425	1993	2575	1854	2417	2259	2974	647	1516	1841	1676	1848	1825	3761	2191	2459	1750	3284	4863	2376	2743	2315	2380	4926	1788	2043	2681	4834	3542	5359	2120
"K00647"	6	2	162	62	799	46	31	530	139	45	298	1216	34	1187	114	1405	54	164	416	12	65	4	659	4293	353	933	7299	2613	1280	647	1027	4286	3413	71	600	1038	521	1018	2127	594
"K00648"	5203	821	1170	3704	2530	4932	2330	4203	2429	3626	3121	3425	2601	2974	3602	3888	1004	2442	2525	2617	2312	2964	3787	938	3552	2305	3094	6913	3323	3895	2741	1893	5320	909	3281	2943	5281	4022	6329	2507
"K00649"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
"K00650"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"K00651"	1998	179	441	503	3233	766	70	1741	89	198	1397	2537	115	2379	780	3577	300	555	3173	118	1367	52	4360	1775	825	2882	3484	6459	751	3712	4029	2146	4441	1466	2214	3243	287	2422	4098	1243
"K00652"	3341	131	249	513	3007	1096	59	2087	179	98	206	2190	81	1129	312	2846	28	292	523	17	96	12	831	1758	520	730	3199	3875	733	953	1930	1918	4660	132	2078	1378	525	1288	2324	480
"K00653"	1	1	0	0	1	0	1	0	1	1	0	1	0	24	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	42	0	0	1	0	5	2	2	5	5	0
"K00654"	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	106	0
"K00655"	3945	1180	1043	1804	3427	2708	934	2189	1160	1583	1583	2718	1205	3454	2558	2822	486	1391	2298	1152	1459	1255	2663	2974	1763	1683	2604	3642	1938	2918	3189	3655	3336	4445	2893	3297	2731	3319	5330	2291
"K00656"	486	3064	1659	2109	9937	384	244	5042	408	551	1954	8646	304	5667	2741	15632	244	1328	5244	118	1758	17	13975	19498	3476	5639	16145	17404	4908	8273	6714	14454	21038	2761	8358	9699	4709	5228	8442	3698
"K00657"	6024	142	48	403	454	34	11	690	16	88	91	461	30	205	78	642	31	53	476	27	282	6	312	1071	52	301	957	1464	281	414	675	812	924	68	310	291	1307	571	961	55
"K00658"	3701	252	63	669	749	29	31	535	124	36	220	878	32	811	281	1370	12	99	280	24	58	2	324	2562	110	427	2396	1456	838	470	781	2461	1417	45	1008	729	755	155	636	396
"K00660"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00661"	1874	814	1154	3441	2193	5063	2873	3636	2982	4091	4046	2501	3755	3570	3527	2261	1819	3021	3219	3619	2855	4032	4108	1864	3863	2739	1786	4318	4265	2855	3633	2257	3005	2190	2741	2721	5452	2076	3248	2868
"K00662"	1946	16	3	36	22	672	0	112	36	0	801	6	7	109	2	3	353	15	1852	173	1733	34	131	3	141	1444	10	25	2	501	3924	2	1	19	63	82	0	635	590	73
"K00663"	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00665"	0	0	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	3	1	0	0	1	0	0	0	2	0	1	0	0	3	0	0	12	8	0
"K00666"	3435	550	324	626	2825	84	86	1992	42	138	158	1949	83	676	765	3238	15	155	426	9	323	2	833	52	739	714	1640	3292	157	567	1448	306	7485	147	1279	1401	961	1359	2252	492
"K00667"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
"K00668"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"K00670"	0	6	3	0	0	0	1	1	0	0	0	20	0	0	3	17	3	12	2	0	0	0	0	0	0	0	0	5	1	3	2	3	0	0	5	0	0	2	17	0
"K00671"	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	3	2	3
"K00672"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	583	11	0
"K00673"	6	1	141	56	1997	34	25	432	26	43	217	1147	51	456	70	2074	44	114	420	4	44	2	629	1894	284	837	2869	2326	620	265	815	1688	2275	53	652	864	185	84	184	406
"K00674"	410	21	127	50	2020	938	21	404	120	58	134	929	69	526	101	1976	30	103	226	36	25	10	398	242	537	369	1885	2391	183	510	1106	313	1435	156	697	822	74	740	1192	443
"K00675"	3228	26	121	82	1186	12	23	294	14	37	129	598	28	568	34	1250	28	54	234	7	60	1	296	761	312	464	2304	1349	325	273	539	803	3535	31	406	615	89	690	888	283
"K00677"	8	4	96	53	1233	651	36	1285	98	37	219	820	40	645	53	1332	39	116	330	12	66	10	685	2203	95	688	2219	1595	674	437	988	1632	1287	85	775	753	212	1988	3027	446
"K00678"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
"K00679"	459	4	0	5	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"K00681"	38	123	123	837	1553	39	83	539	21	133	240	1451	35	1199	187	2085	40	145	663	12	261	2	628	6681	1003	896	10496	2443	1520	758	1184	4120	10263	94	994	1432	1048	3578	3203	596
"K00683"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	98	0
"K00684"	0	1	85	55	1336	310	27	858	17	46	227	729	28	349	54	1463	21	81	308	3	40	3	376	1020	188	673	2078	1534	374	220	670	1188	2285	54	552	680	110	334	729	353
"K00685"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	0
"K00686"	2789	30	5	47	33	1	1	1	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"K00688"	6438	1452	1786	2073	7010	689	140	3054	428	607	1201	6151	311	6496	3829	8467	152	1322	4663	105	1397	28	5390	5916	1494	2937	5962	11543	1884	10248	5112	6780	6649	7169	6253	7165	1111	7687	13002	2894
"K00690"	9	160	147	236	450	400	3	493	69	205	768	406	36	1865	253	2795	550	475	2403	94	1535	38	1517	22	436	2340	27	347	13	1798	3392	551	250	1367	1118	1606	186	785	1081	470
