Archaea;;;;;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae;Piscicoccus;intestinalis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Actinomycetales;Ellin122
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Kaistibacter;ginsenosidimutans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Actinotelluria;brasiliensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Blastococcus;jejuensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae;Haloglycomyces;albus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Millisia;brevis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Arsenicicoccus;piscis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Humihabitans;oryzae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Janibacter;melonis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Kribbia;dieselivorans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Marihabitans;asiaticum
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Ornithinicoccus;hortensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Ornithinimicrobium;kibberense
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Ornithinimicrobium;pekingense
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Tetrasphaera;elongata
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Tetrasphaera;japonica
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Tetrasphaera;remsis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineococcus;xinjiangensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineosporia;aurantiaca
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineosporia;rhamnosa
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Cryocola;antiquus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Frondihabitans;australicus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Frondihabitans;cladoniiphilus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Glaciibacter;superstes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Herbiconiux;flava
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Herbiconiux;ginsengi
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Herbiconiux;solani
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Labedella;gwakjiensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia;antarctica
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia;kafniensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia;kribbensis
