Archaea;;;;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Asanoa
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Krasilnikovia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Longispora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Longispora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
