""	"17119-05-33-243200064"	"17119-05-40-243200090"	"17119-05-06-243200069"	"17119-05-09-243200070"	"17119-05-15-243200093"	"17119-05-18-243200100"	"17119-05-20-243200063"	"17119-05-28-243200078"	"17119-05-31-243200080"	"17119-05-34-243200097"	"17119-05-36-243200079"	"17119-05-39-243200084"	"17119-05-14-243200089"	"17119-05-17-243200086"	"17119-05-23-243200073"	"17119-05-26-243200098"	"17119-05-35-243200067"	"17119-05-37-243200074"	"17119D-05-29-243200065"	"REF_GCF_003795065"	"REF_GCF_003971565"
"g005787"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005788"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005789"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005790"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005791"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005793"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005794"	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"g005798"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005799"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005912"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1
"g006388"	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1
"g006691"	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g006895"	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1
"g007005"	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0
"g007020"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007023"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007030"	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007036"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007053"	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0
"g007054"	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0
"g007082"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0
"g007087"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
"g007090"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0
"g007144"	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
"g007165"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1
"g007189"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g007190"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0
"g007191"	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0
"g007192"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g007207"	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
