""	"17119-05-33-243200064"	"17119-05-40-243200090"	"17119-05-06-243200069"	"17119-05-09-243200070"	"17119-05-15-243200093"	"17119-05-18-243200100"	"17119-05-20-243200063"	"17119-05-28-243200078"	"17119-05-31-243200080"	"17119-05-34-243200097"	"17119-05-36-243200079"	"17119-05-39-243200084"	"17119-05-14-243200089"	"17119-05-17-243200086"	"17119-05-23-243200073"	"17119-05-26-243200098"	"17119-05-35-243200067"	"17119-05-37-243200074"	"17119D-05-29-243200065"	"REF_GCF_003795065"	"REF_GCF_003971565"
"g000906"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g000911"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000920"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g000922"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000923"	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000924"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000925"	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"g000936"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"g000959"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
"g000964"	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000967"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"g000973"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000979"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"g000981"	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1
"g000984"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000995"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g000996"	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0
"g001007"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1
"g001009"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g001013"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"g001053"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g001054"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"g001068"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"g001079"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g001088"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"g001089"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g001146"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g001159"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
